season,season_average
2019-20,3.03
2018-19,3.01
2017-18,2.97
2016-17,2.77
2015-16,2.71
2014-15,2.73
2013-14,2.74
2012-13,2.72
2011-12,2.73
2010-11,2.79
2009-10,2.84
2008-09,2.91
2007-08,2.78
2006-07,2.95
2005-06,3.08
2003-04,2.57
2002-03,2.65
2001-02,2.62
2000-01,2.76
1999-00,2.75
1998-99,2.63
1997-98,2.64
1996-97,2.92
1995-96,3.14
1994-95,2.99
1993-94,3.24
1992-93,3.63
1991-92,3.48
1990-91,3.46
1989-90,3.68
1988-89,3.74
1987-88,3.71
1986-87,3.67
1985-86,3.97
1984-85,3.89
1983-84,3.94
1982-83,3.86
1981-82,4.01
1980-81,3.84
1979-80,3.51
1978-79,3.5
1977-78,3.3
1976-77,3.32
1975-76,3.41
1974-75,3.43
1973-74,3.2
1972-73,3.28
1971-72,3.07
1970-71,3.12
1969-70,2.9
1968-69,2.98
1967-68,2.79
1966-67,2.98
1965-66,3.04
1964-65,2.88
1963-64,2.78
1962-63,2.97
1961-62,3.01
1960-61,3
1959-60,2.95
1958-59,2.9
1957-58,2.8
1956-57,2.69
1955-56,2.53
1954-55,2.52
1953-54,2.4
1952-53,2.4
1951-52,2.6
1950-51,2.71
1949-50,2.73
1948-49,2.72
1947-48,2.93
1946-47,3.16
1945-46,3.34
1944-45,3.68
1943-44,4.08
1942-43,3.61
1941-42,3.12
1940-41,2.68
1939-40,2.49
1938-39,2.53
1937-38,2.53
1936-37,2.46
1935-36,2.16
1934-35,2.52
1933-34,2.41
1932-33,2.28
1931-32,2.49
1930-31,2.4
1929-30,2.96
1928-29,1.46
1927-28,1.9
1926-27,2
1925-26,2.31
1924-25,2.5
1923-24,2.66
1922-23,3.26
1921-22,3.96
1920-21,4.23
1919-20,4.79
1918-19,4.13
1917-18,4.75
,
